idx,npcc_name,extn_ID_pjm,extn_name_pjm
6,SHERMAN RD,71856721,SHERMAN 13.8 KV CT 1
7,MEDWAY,,
8,MILLBURY,,
9,CARPENTER HL,,
10,BRAYTON PT,,
11,BRAYTON PT,,
12,BRIDGEWATER,,
13,PILGRIM,,
14,CANAL,32410793,CANALAEP138 KV T1
15,WALPOLA,,
17,SCOBIE,,
18,SANDY POND,,
19,POWNAL,,
20,MAINE YANKEE,53049049,216 MOUN138 KV MAINELF
22,BRAYTON PT,,
23,BRAYTON PT,,
24,PILGRIM,,
25,CANAL,,
26,MAINE YANKEE,,
45,PORTER,5021476,PORTERFI138 KV T1
83,KEITH,93353803,KEITH 138 KV TR71
84,KEITH JCT,93353805,KEITH 138 KV TR72
85,LAMBTON,,
86,LAMBTON,,
87,LAMBTON,,
88,SCOTT,50567,SCOTTPAP13 KV SCOTCO
89,SCOTT,,
90,VIDA,,
92,HANMER,,
93,ESSA,,
94,ORANGEVILLE,,
95,DES JOAC,,
96,HOLDEN,,
97,MARTINDELE,,
109,SLT,1869183648,MORTNSLT69 KV T1
111,DETWIERER,,
112,CHATHAM,1305122390,CHATHAM469 KV SHEVADP
113,LAUZON,,
114,MARYSVILLE,,
115,ST CLAIR,1067169374,STCLAIR2138 KV SVC
116,WATERMAN,,
117,PONTIAC,,
118,WAYNE,,
119,THETFORD,,
120,ARGENTA,,
121,SC415,,
122,WATERMAN,,
123,MONROE,,
127,ALBURTIS,,
128,WHITPAIN,,
129,KEENEY,2155501856,KEENEY 138 KV T2_LD
130,PEACH BOTTOM,50558,PEACHBOT22 KV UNIT03
131,CONASTONE,,
132,JUNIATA,49112,JUNIATA 230 KV TRAN_3
133,CONEMAUGH,,
134,HOMER CITY,50780,HOMERCIT230 KV PIERCE N
135,KEYSTONE,5021679,LACKAWAN69 KV KEYSTONE
139,KYGER,1552845544,KYGERCRE15.5 KV KY3
